"ID_REF"	"GSM322969"	"GSM323054"	"GSM323523"	"GSM323524"	"GSM323525"	"GSM323526"	"GSM323527"	"GSM323528"	"GSM323529"	"GSM323530"	"GSM323531"	"GSM323554"	"GSM323555"	"GSM323557"	"GSM323558"	"GSM323559"	"GSM323560"	"GSM323561"	"GSM323562"	"GSM323563"	"GSM323564"	"GSM323565"	"GSM323566"	"GSM323567"	"GSM323569"
"221534_at"	668.9	663.69	623.66	587.49	688.78	622.49	652.09	646.51	616.85	715.2	481.4	654.39	580.53	621.39	612.14	577.16	562.97	699.52	595.41	626.94	582.72	644.24	584.59	743.71	589.28
"221535_at"	291.85	227.82	300.14	260.67	304.02	246.35	297	277.12	325.05	278.34	279.76	263.97	300.26	323.65	256.28	290.96	309.37	312.44	337.28	365.36	405.75	295.27	275.79	256.85	344.06
"221536_s_at"	237.41	204.04	255.7	239.33	275.78	179.36	180.51	212.53	277.19	202.72	255.02	213.39	243.17	229.67	224.59	236.65	252.69	226.92	236.04	262.08	307.45	157.94	213.73	186.46	229.25
"221537_at"	504.1	464.86	417.92	403.28	424.49	417.12	453.67	389.26	403.9	435.39	449.55	436.75	404.32	447	378	349.32	396.94	493.35	359.92	499.45	547.04	593.86	517.91	601.3	522.92
"221538_s_at"	316.83	315.21	354.69	323.84	354.82	351.41	329.63	269.03	394.95	305.44	550.05	320.85	340.87	378.03	500.85	467.53	370.45	220.96	399.31	500.71	892.37	385.69	371.95	365.37	1239.7
"221539_at"	358.65	297.12	265.19	276.3	324.49	239.1	414.78	313.95	329.67	319.11	306	296.5	280.23	297.63	270.98	283.62	300.73	310.4	353.28	403.39	220.72	201.25	206.81	185.99	449.24
"221540_x_at"	258.8	258.45	250.73	420.09	390.4	217.88	379.98	310.71	318.51	300.14	560.27	285.61	240.7	189.05	309.24	295.73	315.58	440.47	283.23	276.59	321.17	202.33	269.87	173.2	431.57
"221541_at"	820.16	1202.58	682.56	552.14	221.15	1083.35	425.06	1792.65	879.82	1327.96	379.97	1344.31	852.09	803.05	1113.07	703.44	918	1951.87	504.28	481.49	240.7	202.1	165.52	149.92	203.6
"221542_s_at"	198.72	274.23	276.43	255.75	269.29	251.59	222	327.89	278.65	244.64	251.09	246.36	253.35	243.7	263.02	287.08	401.44	371.59	257.92	173.04	373.3	203.68	325.09	198.73	168.05
"221543_s_at"	208.52	267.31	344.55	227.77	292.02	238.67	305.38	461	327.3	256.06	320.67	306.12	301.42	276.74	319.77	321.77	410.5	430.73	282.95	204.57	469.56	222.48	414.69	222.68	210.85
"221544_s_at"	271.27	343.34	289.68	411.88	406.32	374.34	370.58	356.08	216.26	389.54	270.48	348.23	381.22	381.68	335.57	257.04	271.06	447.2	290	583.13	461.07	339.17	345.42	199.05	397.13
"221545_x_at"	434.23	353.08	388.93	353.02	472.9	369.3	350.32	303.42	450.16	367.18	389.56	371.54	383.73	416.42	443.65	483.47	366.68	338.04	499.88	585.47	369.01	348.05	347.44	343.38	463.7
"221546_at"	244.83	220.7	234.28	210.58	203.18	186.78	219.53	219.74	208.53	230.9	167.49	211.56	202.17	236.96	199.96	177.6	201.72	245.96	194.35	206.35	251.34	175.43	173.38	167.78	294.39
"221547_at"	168.09	171.02	206.61	185.44	209.94	159.03	179.53	161.41	222.02	189.6	220.88	196.92	210.27	164.23	171.5	228.89	183.07	178.84	218.55	138.24	156.05	199.72	175.19	213.27	128.58
"221548_s_at"	234.17	245.66	266.19	291.38	221.13	265.4	246.33	276.66	285.91	222.11	269.23	239.22	261.23	236.99	357.36	316.85	256.14	308.73	301.72	351.29	278.03	339.53	369.41	295.51	375.46
"221549_at"	222.68	207.72	228.03	243.39	220.95	291.35	232.38	220.3	226.11	235.76	239.53	227.62	234.85	257.59	252.88	232.35	224.13	228.87	236.14	337.69	214.87	244.44	233.51	252.52	263.11
"221550_at"	132.33	135.21	134.06	126.59	157.86	176.17	167.89	142.48	139.3	154.96	168.22	145.61	161.56	138.63	141.25	146.21	130.96	126.31	225.11	118.52	169.93	120.67	142.19	108.78	126.76
"221551_x_at"	207.83	163.89	159.86	188.22	195	204.37	179.44	158.76	169.67	182.64	168.29	180.1	175.75	183.78	164.44	165.89	170.56	194.04	205.78	180.36	179.59	154.45	151.68	169.35	188.14
"221552_at"	443.24	457.22	410.43	448.17	404.4	501.99	425.19	457.81	466.34	499.39	271.76	475.35	488.14	509.71	426.38	470.86	382.49	545.81	395.82	391.13	320.37	564.03	402.17	547.59	352.25
"221553_at"	298.68	214.74	327.13	267.21	222.27	222.53	265.09	325.09	378.37	190.67	311.13	260.67	256.96	231.29	371.87	366.26	357.41	377.77	381.27	247.71	350.07	109.41	198.71	109.27	67.8
"221554_at"	512.87	614.5	507.27	545.68	523.84	557.24	592.74	517.64	489.69	530.66	477.77	554.62	558.55	605.96	494.61	453.96	456.48	525.06	477.81	585.6	600.68	576.65	565.05	462.94	534.09
"221555_x_at"	459.01	649.02	690.46	635.61	470.95	549.54	696.61	633.16	537.47	583.76	654.44	670.93	559.73	624.71	751.6	575.11	491.55	416.66	442.72	490.52	537.26	239.22	309.52	189.13	216.97
"221556_at"	254.93	434.77	463.45	458.24	358.07	363.21	382.71	359.13	555.31	397.84	616.71	454.95	419.23	416.4	551.37	561.65	378.8	361.36	353.02	290.9	274.12	133.53	232.58	125.54	169.17
"221557_s_at"	312.29	351.52	298.55	271.6	269.23	320.91	337.7	403.63	310.8	318.92	253.31	351.72	343.01	282.64	271.51	262.46	309.41	375.87	274.71	288.63	296.67	303.14	286.25	309.32	246.91
"221558_s_at"	397.97	317.73	452.95	370.35	283.96	305.57	314.95	388.84	234.09	282.54	432.37	408.6	399.79	290.61	515.7	280.05	363.03	383.44	269.28	301.6	358.22	331.18	278.75	219.73	304.17
"221559_s_at"	171.32	209.35	287.05	223	197.84	206.38	250.36	251.42	291.31	216.71	353.28	246.16	252.61	168.99	328.4	294.94	261.27	238.78	263.91	180.01	406.65	236.74	419.32	241.44	175.95
"221560_at"	959.45	923.73	832.56	813.58	816.27	869.63	907.97	887.56	780.85	1075.91	706.48	907.95	850.57	1060.07	757.24	717.78	948.89	827.83	702.32	799.07	1321.06	846.02	820.95	893.02	1043.36
"221561_at"	70.45	45.63	86.12	89.53	68.88	59.21	72.86	85.56	88.58	51.66	119.03	72.87	79.99	47.17	83.84	107.57	104.11	86.37	106.2	47.7	78.54	29.91	55.49	34.84	58.7
"221562_s_at"	167.12	172.68	171.82	186.93	166.79	242.06	185.83	201.11	171.28	189.94	155.43	175.54	170.86	181.65	178.68	172.24	185.2	199.93	176.39	183.3	267.54	246.95	257.54	252.24	227.85
"221563_at"	142.14	159.32	150.91	112.3	114.75	158.52	189.07	190.39	149.11	140.59	167.38	153.74	142.68	151.59	180.03	153.46	135.1	147.96	135.86	123.68	188.55	338.78	267.25	312.8	136.38
"221564_at"	464.57	464.02	544.87	514.53	501.27	417.19	459.79	573.19	556.34	427.93	605.5	451.82	622.26	469.71	454.99	478.08	535.46	486.15	497.54	450.83	559.33	341.39	468.32	316.26	576.89
"221565_s_at"	270.93	253.69	280.71	285.14	277.11	345.31	295.67	262.22	234.2	309.51	187.88	241.25	296.69	259.38	252.47	245.11	248.73	254.72	261.58	239.94	279.24	212.9	215.76	178.96	214.8
"221566_s_at"	136.56	125.21	140.34	153.28	157.97	148.16	157.22	210.68	124.59	138.37	116.59	134.43	155.01	128.09	143.48	127.7	150.95	171.72	146.81	140.48	127.48	156.71	131.6	167.14	122.37
"221567_at"	237.14	287	256.18	280.67	260.23	315.48	325.33	576.87	243.72	240.01	186.05	262.27	283.83	246.73	345.03	252.53	297.99	359.2	254.13	267.23	303.29	275.93	299.73	293.13	205.75
"221568_s_at"	651.73	661.21	751.51	553.02	759.68	546.69	669.62	617.18	776.23	694.07	642.59	705.69	657.76	647.65	648.43	711.33	628.7	920.75	591.82	488.36	463.64	1155.59	967.79	1182.85	793.46
"221569_at"	448.74	442.54	558.25	554.32	434.87	502.87	538.11	604.05	489.05	619.98	551.3	556.6	550.08	524.76	804.41	502.21	524.38	623.78	553.02	708.77	514.26	546.7	860.64	755.82	379.04
"221570_s_at"	644.93	596.93	762.14	677.23	750.79	606.57	642.79	817.69	690.39	561.6	609.07	709.07	736.15	563.29	646.95	632.05	677.38	764.38	829.04	697.73	823.13	568.93	604.18	556.46	454.04
"221571_at"	250.21	445.94	443.88	325.76	550.79	376.51	339.55	321.06	445.59	452.11	391.86	355.21	397.5	335.95	404.61	471.79	331.25	302.62	319.56	345.23	546.03	499.74	465.94	402.82	337.28
"221572_s_at"	125.27	155.55	164.97	177.51	154.92	186.09	154.16	139.57	151.79	158	146.48	152.61	152	166.09	174.85	145.2	149.33	163.75	138.19	221.92	181.31	163.28	166.09	140.2	176.56
"221573_at"	153.41	185.24	204.24	179.97	211.4	175.23	171.56	174.01	183.1	201.5	193.3	186.13	204.7	185.06	159.14	175.95	193.29	180.43	177.22	159	215.79	172.49	178.44	197.27	159.83
"221575_at"	240.07	290.34	232.1	222.62	234.02	214.17	297.93	272.86	201.85	267.46	213.94	251.89	227.33	279.39	210.35	185.63	248.14	238.16	216.19	225.16	285.02	261.34	241.39	244.56	254.05
"221576_at"	86.36	66.71	69.13	65.19	77.43	74.16	78.87	76.36	62.28	84.17	64.47	72.98	67.9	74.27	66.84	64.84	66.68	68.19	55.75	82.52	89.1	67.54	67.63	64.34	76.48
"221577_x_at"	63.35	38.3	49.8	93.2	55.87	71.49	125.43	73.51	82.62	49.73	81.9	43.19	51.37	51.33	74.96	59.54	73.14	57.63	83.81	92.68	202.23	58.57	69.05	62.57	67.84
"221578_at"	718.79	755.04	663.55	746.67	559.9	702.47	787.1	735.63	631.02	799.31	472.2	748.81	671.06	737.98	617.83	553.72	569.93	767.26	574.2	598.45	667.8	620.15	576.41	508.37	652.14
